Country Name,10 year GDP Average,Average % of Forest Cover (10 yrs),continent
Afghanistan,14516852848,2.067824648,Asia
Albania,11574059426,28.3450564,Europe
Algeria,1.66E+11,0.76590294,Africa
American Samoa,588363636.4,88.55909091,Oceania
Andorra,3512859907,34.04255319,Europe
Angola,86040327726,46.90783669,Africa
Antigua and Barbuda,1193320505,22.27272727,North America
Argentina,4.16E+11,10.45968272,South America
Armenia,9462097983,11.64543219,Asia
Aruba,2531324022,2.333333333,North America
Australia,1.15E+12,16.25023519,Oceania
Austria,3.94E+11,46.75405111,Europe
Azerbaijan,49983057414,12.19977185,Asia
"Bahamas, The",8204499245,51.44855145,North America
Bahrain,26104096059,0.690552865,Asia
Bangladesh,1.19E+11,11.07782131,Asia
Barbados,4380945004,14.65116279,North America
Belarus,54980910142,42.06400475,Europe
Belgium,4.81E+11,22.45346463,Europe
Belize,1444368924,60.99972102,North America
Benin,7294331695,40.44874069,Africa
Bermuda,5611135667,20,North America
Bhutan,1498205140,70.97334284,Asia
Bolivia,21407823036,52.15872376,South America
Bosnia and Herzegovina,16585333996,42.67578125,Europe
Botswana,12768170416,20.06791754,Africa
Brazil,1.89E+12,59.74693804,South America
British Virgin Islands,#DIV/0!,24.26666667,North America
Brunei Darussalam,14345800185,72.57202001,Asia
Bulgaria,49087569095,34.41628139,Europe
Burkina Faso,9120991983,20.64792663,Africa
Burundi,2078028280,9.331634098,Africa
Cabo Verde,1610151091,21.33837131,Africa
Cambodia,11940749862,57.183322,Asia
Cameroon,24399293367,42.13153942,Africa
Canada,1.57E+12,38.19352283,North America
Cayman Islands,3207032513,52.91666667,North America
Central African Republic,1787656926,35.7122219,Africa
Chad,10477811482,4.374205845,Africa
Channel Islands,10006017174,4.210526316,Europe
Chile,2.10E+11,22.31193326,South America
China,6.52E+12,21.3725208,Asia
Colombia,2.76E+11,53.20053259,South America
Comoros,528722360.1,21.10302379,Africa
"Congo, Dem. Rep.",22724018950,67.98923711,Africa
"Congo, Rep.",10963033182,65.61160655,Africa
Costa Rica,37310946670,51.21603817,North America
Cote d'Ivoire,25298151132,32.71383648,Africa
Croatia,57381998154,34.23711742,Europe
Cuba,66206612370,27.8028683,North America
Curacao,#DIV/0!,#DIV/0!,North America
Cyprus,23808286747,18.70188902,Europe
Czech Republic,1.97E+11,34.40010204,Europe
Denmark,3.21E+11,13.83102622,Europe
Djibouti,1169548271,0.241587575,Africa
Dominica,469449484.8,59.54666667,North America
Dominican Republic,52582416507,37.61690597,North America
Ecuador,72541320818,52.10805429,South America
"Egypt, Arab Rep.",2.12E+11,0.070319956,Africa
El Salvador,21951600000,13.85135135,North America
Equatorial Guinea,16525252856,57.97763734,Africa
Eritrea,1655603710,15.16831683,Africa
Estonia,21501148627,52.80404898,Europe
Ethiopia,34262849609,12.54336364,Africa
Faroe Islands,2265498889,0.05730659,Europe
Fiji,3625530548,54.77369757,Oceania
Finland,2.51E+11,73.0196354,Europe
France,2.64E+12,29.9960469,Europe
French Polynesia,#DIV/0!,40.48683557,Oceania
Gabon,14488597533,86.43896174,Africa
"Gambia, The",855043201.9,47.4038807,Africa
Georgia,12402312785,40.42007352,Asia
Germany,3.47E+12,32.70659838,Europe
Ghana,31640928315,40.41047728,Africa
Gibraltar,#DIV/0!,0,Europe
Greece,2.75E+11,30.27928627,Europe
Greenland,2212523250,0.000535997,North America
Grenada,803389542.1,49.97058824,North America
Guam,4897545455,46.2962963,Oceania
Guatemala,44015946675,34.81964098,North America
Guinea,4923105623,26.63193879,Africa
Guinea-Bissau,882186745.4,71.90611664,Africa
Guyana,2262908386,84.17299744,South America
Haiti,6920371699,3.664731495,North America
Honduras,15541589973,46.40271695,North America
"Hong Kong SAR, China",2.40E+11,#DIV/0!,Asia
Hungary,1.32E+11,22.56229649,Europe
Iceland,16103947538,0.426751304,Europe
India,1.53E+12,23.36403905,Asia
Indonesia,6.69E+11,52.12761206,Asia
"Iran, Islamic Rep.",4.20E+11,6.564490778,Asia
Iraq,1.48E+11,1.89470425,Asia
Ireland,2.45E+11,10.5236807,Europe
Isle of Man,5497947651,6.070175439,Europe
Israel,2.32E+11,7.267686103,Asia
Italy,2.10E+12,30.69286734,Europe
Jamaica,13320274051,31.13153698,North America
Japan,5.14E+12,68.45875478,Asia
Jordan,25789770034,1.100664229,Asia
Kazakhstan,1.53E+11,1.228520341,Asia
Kenya,41972343186,7.432266226,Africa
Kiribati,152075596.4,15,Oceania
"Korea, Dem. People’s Rep.",#DIV/0!,47.05136239,Asia
"Korea, Rep.",1.14E+12,64.01023924,Asia
Kosovo,5806453426,#DIV/0!,Europe
Kuwait,1.31E+11,0.340016325,Asia
Kyrgyz Republic,5263567726,3.746279268,Europe
Lao PDR,7430101461,77.19046794,Asia
Latvia,27261467222,53.68685984,Europe
Lebanon,35462960470,13.38220919,Asia
Lesotho,2202189312,1.485207809,Africa
Liberia,1316758282,44.94393688,Africa
Libya,61350555438,0.123327688,Africa
Liechtenstein,5118036316,43.125,Europe
Lithuania,40118916957,34.45523218,Europe
Luxembourg,53395891416,33.47490347,Europe
"Macao SAR, China",31702448325,#DIV/0!,Asia
"Macedonia, FYR",9330666724,39.26204664,Europe
Madagascar,8674340563,21.67759484,Africa
Malawi,5674062816,34.55085432,Africa
Malaysia,2.51E+11,66.37290574,Asia
Maldives,2292327558,3.333333333,Asia
Mali,10625998229,4.187872381,Africa
Malta,8796959105,1.09375,Europe
Marshall Islands,164891419.2,70.22222222,Oceania
Mauritania,4209867262,0.236776418,Africa
Mauritius,10035232507,18.91625616,Africa
Mexico,1.09E+12,34.22548747,North America
"Micronesia, Fed. Sts.",288780609.1,91.61298701,Oceania
Moldova,5903672730,11.74140509,Europe
Monaco,5545711202,#DIV/0!,Europe
Mongolia,7892874548,8.003810603,Asia
Montenegro,3917034509,57.4112876,Europe
Morocco,91416711356,12.51889271,Africa
Mozambique,12195175458,49.58474853,Africa
Myanmar,42999862537,48.14260717,Asia
Namibia,10464616322,8.85471705,Africa
Nauru,72883502.27,0,Oceania
Nepal,15214534307,25.3644925,Asia
Netherlands,8.27E+11,11.0186588,Europe
New Caledonia,#DIV/0!,45.89715536,Oceania
New Zealand,1.52E+11,38.58569747,Oceania
Nicaragua,9248286208,26.66988986,North America
Niger,5842717891,0.950501303,Africa
Nigeria,3.25E+11,9.926765265,Africa
Northern Mariana Islands,867636363.6,65.91106719,Oceania
Norway,4.32E+11,33.1339238,Europe
Oman,59340891358,0.006462036,Asia
Pakistan,1.91E+11,2.188408053,Asia
Palau,212127272.7,87.60869565,Oceania
Panama,32362708569,63.21324626,North America
Papua New Guinea,10316253505,74.13489218,Oceania
Paraguay,20388754210,42.59295701,South America
Peru,1.46E+11,58.4203125,South America
Philippines,2.04E+11,24.25157095,Asia
Poland,4.64E+11,30.44051495,Europe
Portugal,2.28E+11,35.37981777,Europe
Puerto Rico,94854247258,54.04847802,North America
Qatar,1.32E+11,0,Asia
Romania,1.69E+11,28.58649554,Europe
Russian Federation,1.57E+12,49.6627822,Europe
Rwanda,5675262436,17.78015256,Africa
Samoa,666013067.8,60.42402827,Oceania
San Marino,1607966017,0,Europe
Sao Tome and Principe,221328924.5,56.51515152,Africa
Saudi Arabia,5.59E+11,0.454484135,Asia
Senegal,12787206693,44.00872591,Africa
Serbia,40235084155,30.30268382,Europe
Seychelles,1111365946,88.41304348,Africa
Sierra Leone,3107109940,39.33852238,Africa
Singapore,2.31E+11,23.31358535,Asia
Sint Maarten (Dutch part),#DIV/0!,#DIV/0!,North America
Slovak Republic,88769711241,40.2841566,Europe
Slovenia,46858166885,61.87595919,Europe
Solomon Islands,774670959.9,79.06395141,Oceania
Somalia,5641333333,10.75493353,Africa
South Africa,3.30E+11,7.617736524,Africa
South Sudan,13407414253,#DIV/0!,Africa
Spain,1.38E+12,36.09077889,Europe
Sri Lanka,54084410545,33.45703889,Asia
St. Kitts and Nevis,729138703.7,42.30769231,North America
St. Lucia,1226968219,33.7704918,North America
St. Martin (French part),#DIV/0!,18.38235294,North America
St. Vincent and the Grenadines,677024868.7,68.53146853,North America
Sudan,60762123864,10.09504668,Africa
Suriname,4002482195,98.40559441,South America
Swaziland,4003830338,32.74841438,Africa
Sweden,4.99E+11,68.694515,Europe
Switzerland,5.82E+11,31.25985221,Europe
Syrian Arab Republic,34198938700,2.629334891,Asia
Tajikistan,5854296911,2.937830865,Asia
Tanzania,32319777496,54.14109485,Africa
Thailand,3.25E+11,31.80581481,Asia
Timor-Leste,960974418.2,49.89912576,Asia
Togo,3328649332,5.276705277,Africa
Tonga,374269713.7,12.5,Oceania
Trinidad and Tobago,22954150022,44.75349991,North America
Tunisia,42331876500,6.330165715,Africa
Turkey,6.95E+11,14.54606877,Asia
Turkmenistan,25098048124,8.782159045,Asia
Turks and Caicos Islands,#DIV/0!,36.21052632,North America
Tuvalu,31675476.67,33.33333333,Oceania
Uganda,18917728259,13.75474605,Africa
Ukraine,1.38E+11,16.54528848,Europe
United Arab Emirates,3.09E+11,3.795454545,Asia
United Kingdom,2.71E+12,12.69713629,Europe
United States,1.54E+13,33.65782897,North America
Uruguay,39100202905,9.742730701,South America
Uzbekistan,40120461692,7.676667949,Asia
Vanuatu,655693068.7,36.09515997,Oceania
"Venezuela, RB",2.96E+11,53.66764407,South America
Vietnam,1.24E+11,45.20680081,Asia
Virgin Islands (U.S.),4184090909,51.89350649,North America
West Bank and Gaza,8882795067,1.523255814,Europe
"Yemen, Rep.",29995034542,1.039831809,Asia
Zambia,19451310468,66.54380608,Africa
Zimbabwe,9449206445,40.43921182,Africa
