Year,Togo,Namibia,Burundi,Uruguay,Nigeria,Sudan,Argentina,Ireland,Somalia,Netherlands,Bangladesh,Armenia,Moldova,Azerbaijan,Morocco,Ethiopia,United Kingdom,Lebanon,Uganda,Denmark,El Salvador,Turkey,Eritrea,Australia,Ukraine,Rwanda,Botswana,Burkina Faso,China,Madagascar,Chile,Belgium,Hungary,India,Philippines,Nepal,Guinea,Nicaragua,Cuba,Albania,Romania,France,Greece,Serbia,Poland,Italy,Jamaica,Switzerland,Thailand,Germany,Cote d'Ivoire,Swaziland,Norway,Sri Lanka,United States,Mexico,Croatia,Czech Republic,Bulgaria,Lithuania,Malawi,Guatemala,Portugal,Central African Republic,Spain,Vanuatu,Dominican Republic,Canada,New Zealand,"Macedonia, FYR",Sierra Leone,Slovak Republic,Ghana,Georgia,Zimbabwe,Benin,Belarus,Cameroon,Paraguay,Bosnia and Herzegovina,Senegal,Liberia,Vietnam,New Caledonia,Honduras,Austria,Angola,"Korea, Dem. People’s Rep.","Gambia, The",Myanmar,Mozambique,Russian Federation,Timor-Leste,Costa Rica,"Bahamas, The",Ecuador,Indonesia,Bolivia,Estonia,Colombia,"Venezuela, RB",Latvia,Tanzania,Fiji,Cambodia,Montenegro,Equatorial Guinea,Peru,Brazil,Belize,Slovenia,Panama,"Korea, Rep.","Congo, Rep.",Malaysia,Zambia,"Congo, Dem. Rep.",Japan,Sweden,Bhutan,Guinea-Bissau,Finland,Papua New Guinea,Lao PDR,Solomon Islands,Guyana,Gabon,Suriname
1990,12.59422688,10.6426654,11.25389408,4.55833619,18.92245023,12.93236953,12.7135335,6.749891131,13.20177256,10.21919431,11.47729892,11.76677204,9.704898083,10.23829266,11.10015685,15.19981835,11.48266027,12.8054741,23.77758871,12.81434301,18.1949807,12.5021114,0,16.73209846,16.00759472,12.89014998,24.20552997,25.0255848,16.73800762,23.54438216,20.52769753,0,20.04005786,21.50518467,21.98410303,33.68531469,29.56210321,37.51038724,19.16201117,28.78832117,27.77850447,26.36394517,25.59348332,28.31008461,28.99539652,25.80667097,31.81902124,29.11786284,27.41294604,32.36616733,32.14465409,27.44186047,33.21606045,36.42162335,33.02230821,35.88569665,33.08889286,34.02355377,30.07321703,31.03063178,41.32371659,44.30757745,37.55191257,36.21304055,27.64994794,36.09515997,22.87311116,38.29907264,36.67919942,35.86315376,43.19756165,39.95841996,37.91421289,39.60282055,57.29352462,51.09081235,38.35535397,51.43957183,53.25195067,43.33333333,48.55347219,51.17317276,28.7658607,45.89715536,72.71427295,45.72535723,48.9099222,68.10896105,43.67588933,60.00856872,55.16162669,49.3564654,64.96301278,50.21543282,51.44855145,52.84947984,65.43771425,57.96639897,52.04057561,58.05948626,58.98305085,51.01614252,63.12937458,52.15654078,73.32880127,46.54275093,66.31016043,60.87578125,65.40988785,70.84743534,58.98709037,67.79661017,66.03773585,66.54758419,68.10531122,71.0259756,70.73641958,68.43115743,68.38962811,53.65045053,78.80512091,71.81785351,74.25473656,76.45103986,83.02965345,84.63296927,85.38052548,98.91025641
1991,12.2283508,10.55399677,10.89953271,4.885098846,18.47261109,12.85896465,12.60636024,6.996661344,13.07951031,10.26362559,11.45732504,11.75272216,9.704898083,10.2839564,11.10889536,15.06775659,11.55540859,12.8054741,23.33616936,12.91413069,17.97779923,12.57500357,0,16.73600354,16.00759472,12.99554114,23.99678859,24.80665205,16.94954757,23.42934278,20.60449315,0,20.16913319,21.55398747,22.14240199,33.04405594,29.41559499,36.92870201,19.51303538,28.71715329,27.7630088,26.51972548,25.82777347,28.31008461,29.05351138,26.07153786,31.78485688,29.22664373,28.00133101,32.38163435,32.17798742,27.70930233,33.21085847,36.27491628,33.03416545,35.78775174,33.08889286,34.02355377,30.1166049,31.03063178,40.97475605,43.80365808,37.45027322,36.18799962,28.28415826,36.09515997,23.66176775,38.29389312,36.86187384,35.86315376,42.92601829,39.95841996,38.03814714,39.60282055,56.44823575,50.47002483,38.84145139,50.97417021,52.80166121,43.23529412,48.31974238,50.86171096,29.4921503,45.89715536,71.15559925,45.80043594,48.80981792,67.05589237,43.86363636,59.34296294,54.88313538,49.3564654,64.20981843,49.84723854,51.44855145,52.52365988,64.38139294,57.71679129,52.04057561,57.82347003,58.65710561,51.01614252,62.67780537,52.30706076,72.53682302,46.54275093,65.89304813,60.7371875,65.10562159,70.16001754,58.98709037,67.56389562,65.95272652,66.49780381,67.86638259,70.80186712,70.59906045,68.41086122,68.41399815,53.86297969,78.46372689,72.00499032,74.24877446,75.96624783,82.82958199,84.61366523,85.38052548,98.88525641
1992,11.86247472,10.46532814,10.54517134,5.211861502,18.02277194,12.78555556,12.49918697,7.243286399,12.95724806,10.30805687,11.43735116,11.75272216,9.735320961,10.2839564,11.11763388,14.93569482,11.62815691,12.8054741,22.89475001,13.00164978,17.76061776,12.64789574,0,16.73990862,16.08906533,13.10093231,23.78804722,24.5877193,17.16108753,23.3143034,20.68128877,0,20.29820852,21.60279027,22.30070094,32.4027972,29.26908677,36.34701679,19.86405959,28.6459854,27.76082977,26.67550578,26.06206362,28.31008461,29.11162624,26.33640475,31.75069252,29.33542463,28.58971599,32.39710137,32.21132076,27.97674419,33.20565648,36.12820922,33.04602269,35.68980684,33.21409408,34.02355377,30.15999277,31.26994257,40.6257955,43.29973871,37.34863388,36.16295868,28.91834855,36.09515997,24.45042434,38.2887136,37.04454825,36.22493118,42.65447492,39.95841996,38.16208139,39.63102605,55.60294688,49.84923732,38.84145139,50.50876859,52.35137176,43.06640625,48.08601257,50.55024917,30.21843989,45.89715536,69.59692555,45.87551465,48.70971364,66.00282369,44.0513834,58.67735716,54.60464407,49.36034704,63.45662408,49.47904426,51.44855145,52.19787603,63.32507162,57.46718361,52.21514508,57.58746282,58.33116037,51.2348061,62.22623617,52.45812808,71.74484478,46.54275093,65.47593583,60.59859375,64.80135533,69.47303814,59.43396226,67.33118106,65.86771719,66.44802343,67.62745396,70.57775865,70.46170133,68.390565,68.43836818,54.07550885,78.12233286,72.19212712,74.24281235,75.48145581,82.62951054,84.59436119,85.38052548,98.86025641
1993,11.49659864,10.3766595,10.19080997,5.538624157,17.57293279,12.71215067,12.39201371,7.490056612,12.83498581,10.35248815,11.41737728,11.74569723,9.726858877,10.30798995,11.1263724,14.6913,11.70090522,12.8054741,22.45333066,13.10134339,17.54343629,12.72078791,15.91584158,16.7438137,16.12980064,13.20632347,23.57930584,24.36878655,17.37262749,23.19926402,20.75808439,0,20.42955709,21.65159307,22.4589999,31.76153846,29.12257855,35.76533156,20.2150838,28.57481752,27.75865075,26.83128609,26.29635376,28.31008461,29.1697411,26.60127163,31.71652816,29.44420552,29.17810096,32.41349679,32.24465409,28.24418605,33.20045449,35.98150215,33.05787993,35.59186193,33.27669469,34.05461369,30.20338064,31.38959796,40.27683496,42.79581934,37.24699454,36.13791775,29.55255887,36.09515997,25.23908094,38.28353408,37.22722267,36.4058199,42.38293156,39.95218295,38.28601565,39.64297021,54.75765801,49.22844981,39.0845001,50.04336697,51.90108231,43.01757813,47.85228276,50.23878738,30.94472949,45.89715536,68.03825185,45.95059336,48.60960937,64.949755,44.23913044,58.01175139,54.32615275,49.37364779,62.70342972,49.11084998,51.44855145,51.87209218,62.26875031,57.21757593,52.30242982,57.3514466,58.00521512,51.34413789,61.77466697,52.60864806,70.95286653,46.54275093,65.05882353,60.46,64.49708907,68.78605875,59.65739821,67.09846651,65.78270786,66.39824305,67.38852534,70.35365017,70.32434221,68.37026879,68.46273822,54.28803801,77.78093883,72.37926393,74.23685024,74.99666378,82.42943909,84.57505715,85.38052548,98.83525641
1994,11.13072256,10.28799087,9.836448598,5.865386813,17.12309365,12.63874158,12.28484045,7.736681666,12.71272356,10.39691943,11.3974034,11.73867229,9.744990893,10.33202351,11.13511091,14.5504,11.77365354,12.8054741,22.01191132,13.201037,17.32625483,12.79368008,15.87128713,16.74771878,16.17053595,13.31171463,23.37056447,24.1498538,17.58416744,23.08422465,20.83488001,0,20.55864678,21.70039587,22.61729886,31.12027972,28.97607032,35.18364634,20.56610801,28.50364964,27.75042482,26.9870664,26.53064391,28.31008461,29.22785595,26.86613852,31.6823638,29.55298642,29.76648594,32.42989316,32.27798742,28.51162791,33.1952525,35.83479509,33.06973718,35.49391703,33.3392953,34.064967,30.24676851,31.50925335,39.92787442,42.29189996,37.14535519,36.11287682,30.18674916,36.09515997,26.02773753,38.27835456,37.40989708,36.58670861,42.1113882,39.95010395,38.4099499,39.65491438,53.91236914,48.60766229,39.32754881,49.57796535,51.45079285,42.96875,47.61855295,49.92732558,31.67101908,45.89715536,66.47957816,46.02567208,48.50950509,63.89668632,44.42687747,57.34614561,54.04766144,49.39021069,61.95023537,48.7426557,51.44855145,51.54627222,61.212429,56.96796825,52.38971456,57.11543939,57.67926988,51.45346968,61.32309777,52.75971538,70.16088829,46.54275093,64.64171123,60.32140625,64.19282281,68.09907935,59.88083416,66.86575195,65.69769853,66.34846267,67.14959671,70.12954169,70.18698308,68.34997257,68.48710825,63.98065327,77.43954481,72.56640074,74.23088813,74.51187175,82.22936763,84.55575311,85.38052548,98.81025641
1995,10.76484648,10.19932223,9.482087227,6.192149469,16.6732545,12.5653367,12.17766718,7.98345188,12.59046131,10.44135071,11.37742952,11.73164735,9.76313392,10.35605706,11.14384943,14.4095,11.84640185,12.8054741,21.57049197,13.30073062,17.10907336,12.86657225,15.82673267,16.75162386,16.21127125,13.4171058,23.16182309,23.93092105,17.79572636,22.96918527,20.91167562,0,20.68773648,21.74919867,22.77559781,30.47902098,28.8295621,34.60196111,20.91713222,28.43248175,27.75066452,27.14284671,26.76493406,28.31008461,29.28597081,27.13100541,31.64819945,29.66176731,30.35487091,32.44629046,32.31132076,28.77906977,33.19005051,35.68808802,33.08159442,35.39597212,33.4018959,34.07532031,30.29015638,31.62890874,39.57891387,41.78798059,37.04371585,36.08783589,30.82095948,36.09515997,26.81639412,38.27317505,37.59257149,36.76759733,41.83984483,39.94802495,38.53388415,39.66685854,53.06708026,47.98687478,39.57059752,49.11256373,51.0005034,42.91992188,47.38482314,49.61586379,32.39730867,45.89715536,64.92090446,46.10075079,48.40940082,62.84361764,44.61462451,56.68053983,53.76917012,49.40105187,61.19704102,48.37446142,51.44855145,51.22048837,60.15610769,56.71836057,52.47699929,56.87942316,57.35332464,51.56280147,60.87152856,52.91023536,69.36891004,46.54275093,64.22459893,60.1828125,63.88855655,67.41166155,60.10427011,66.6330374,65.6126892,66.29868228,66.91066809,69.90543322,70.04962396,68.32967636,68.51147829,64.23015075,77.09815078,72.75353754,74.22492603,74.02707972,82.02929618,84.53644907,85.38052548,98.78525641
1996,10.3989704,10.1106536,9.127725857,6.518912124,16.22341535,12.49192761,12.07049392,8.230076934,12.46819906,10.48578199,11.35745564,11.72462241,9.778317643,10.38009061,11.15258795,14.2686,11.91915017,12.8054741,21.12907262,13.40042423,16.89189189,12.93946442,15.78217822,16.75552894,16.25200656,13.52249696,22.95308171,23.7119883,18.00728572,22.85414589,20.98847124,0,20.81682617,21.79800147,22.93389677,29.83776224,28.68305388,34.02027589,21.26815643,28.36131387,27.74485884,27.29862702,26.99922421,28.31008461,29.34408567,27.39587229,31.61403509,29.77130136,30.94325589,32.46268871,32.34465409,29.04651163,33.18484853,35.54138096,33.09345166,35.29802721,33.42265095,34.08567361,30.33354425,31.74856414,39.22995333,41.28406122,36.9420765,36.06279495,31.45514977,36.09515997,27.60505071,38.26799553,37.77524591,36.94848604,41.56830147,39.94594595,38.65781841,39.67880271,52.22179139,47.36608727,39.81364622,48.64716211,50.55021394,42.87109375,47.15109334,49.30440199,33.12359827,45.89715536,63.36223076,46.1758295,48.30929654,61.79054896,44.80237154,56.01493405,53.49067881,49.40426402,60.44384667,48.00626714,51.44855145,50.89470452,59.09978637,56.46875289,52.56428403,56.64340694,57.0273794,51.67213326,60.41995936,53.06075534,68.57693179,46.54275093,63.80748663,60.04421875,63.58429029,66.72468216,60.32770606,66.40032284,65.52767987,66.2489019,66.67173946,69.68132474,69.91226484,68.32812071,68.53584832,64.47964824,76.75675676,72.94067435,74.21896392,73.54224437,81.82922472,84.51714503,85.38052548,98.76025641
1997,10.03309432,10.02198496,8.773364486,6.84567478,15.77357621,12.41852273,11.96332065,8.476847148,12.34593681,10.53021327,11.33748176,11.71759747,9.796476306,10.40412416,11.16132646,14.1277,11.99189848,12.8054741,20.68765327,13.50011784,16.67471043,13.01235659,15.73762376,16.75943402,16.29274187,13.62788812,22.74434034,23.49305556,18.21882613,22.73910651,21.06526686,0,20.95991091,21.84680427,23.09219573,29.1965035,28.53654566,33.43859066,21.61918063,28.29014599,27.7414717,27.45440732,27.23351435,28.31008461,29.40220053,27.66073918,31.57987073,29.88084094,31.53164086,32.48187939,32.37798742,29.31395349,33.17964654,35.3946739,33.1053089,35.20008231,33.48517328,34.09602692,30.37693212,31.86821953,38.88099279,40.78014184,36.84043716,36.03775402,32.08936008,36.09515997,28.39370731,38.26281601,37.95792032,37.12937475,41.29675811,39.94386694,38.78175266,39.69074687,51.37650252,46.74529975,40.05669493,48.18176049,50.09992449,42.82226563,46.91736353,48.9929402,33.84988786,45.89715536,61.80355707,46.25090821,48.20919227,60.73748028,44.99011858,55.34932827,53.21218749,49.40412794,59.69065232,47.63807286,51.44855145,50.56892068,58.04346506,56.2191452,52.65156877,56.40739973,56.70143416,51.78146505,59.96839016,53.21182266,67.78495355,46.54275093,63.39037433,59.905625,63.28002402,66.03770276,60.55114201,66.16760829,65.44267054,66.19912152,66.43281084,69.45721627,69.77490571,68.30781893,68.56021836,64.72914573,76.41536273,73.12781116,74.21300181,73.05745234,81.62915327,84.497841,85.38052548,98.73525641
1998,9.667218239,9.933316328,8.419003115,7.172437436,15.32373706,12.34511364,11.85614739,8.723472202,12.22367456,10.57464455,11.31750787,11.71057253,9.814646004,10.44384538,11.17006498,13.9868,12.0646468,12.8054741,20.24623392,13.59981145,16.45752896,13.08524876,15.69306931,16.7633391,16.33347717,13.73327929,22.53559896,23.27412281,18.43036653,22.62406713,21.14206248,0,21.08908686,21.89560708,23.25049468,28.55524476,28.39003744,32.85690544,21.97020484,28.2189781,27.73204408,27.61018763,27.4678045,28.31008461,29.46031539,27.92560607,31.54570637,29.99038608,32.12002584,32.50014326,32.41132076,29.58139535,33.17444455,35.24796683,33.11716614,35.1021374,33.58969773,34.10638023,30.42031999,31.98787492,38.53203224,40.27622247,36.73879781,36.01271309,32.72355038,36.09515997,29.1823639,38.25763649,38.14059474,37.31026347,41.02521474,39.94178794,38.90568691,39.70269104,50.53121365,46.12451224,40.29974364,47.71635887,49.64963504,42.7734375,46.68363372,48.68147841,34.57617746,45.89715536,60.24488337,46.32598692,48.10908799,59.68441159,45.17786561,54.6837225,52.93369618,49.39808074,58.93745797,47.26987857,51.44855145,56.00459011,56.98714375,55.96953752,52.7388535,56.17138351,56.37548892,51.89079684,59.51682095,53.36234264,66.9929753,46.54275093,62.97326203,59.76703125,62.97575776,65.35072337,60.77457795,65.93489373,65.35766121,66.14934114,66.19388221,69.23310779,69.63754659,68.28751715,68.58458839,64.97839196,76.07396871,73.31494796,74.2070397,72.57266031,81.42908182,84.47853696,85.38052548,98.71025641
1999,9.301342158,9.844647694,8.064641745,7.499200091,14.87389791,12.27170875,11.74897413,8.970242415,12.10141231,10.61907583,11.29753399,11.70354759,9.832826748,10.51689741,11.1788035,13.8459,12.13739511,12.8054741,19.80481457,13.69950507,16.24034749,13.15814093,15.64851485,16.76724419,16.37421248,13.83867045,22.32685759,23.05519006,18.64190694,22.50902775,21.2188581,0,21.21826281,21.94440988,23.40879364,27.91398601,28.24352922,32.27522021,22.32122905,28.14781022,27.72865854,27.76596794,27.70209465,28.31008461,29.51843025,28.19047295,31.51154201,30.09993675,32.70841081,32.51934208,32.44465409,29.84883721,33.16924256,35.10125977,33.12902338,35.0041925,33.65229834,34.11673353,30.46370786,32.10753031,38.1830717,39.7723031,36.63715847,35.98767216,33.35776069,36.09515997,29.97102049,38.25245697,38.32326915,37.49115218,40.75367138,39.93970894,39.02962117,39.7146352,49.68592478,45.50372473,40.54279235,47.25095725,49.19934558,42.72460938,46.44990391,48.37001661,35.30246705,45.89715536,58.68620967,46.40106563,48.00898372,58.63134291,45.36561265,54.01811672,52.65520486,49.37829247,58.18426362,46.90168429,51.44855145,55.6414479,55.93082244,55.71992984,52.82613824,55.9353763,56.04954368,52.00012863,59.06525175,53.51340996,66.20099705,46.54275093,62.55614973,59.6284375,62.6714915,64.66330557,60.9980139,65.70217918,65.27265188,66.09956076,65.95495358,69.00899931,69.50018747,68.26721536,68.60895843,65.22788945,75.73257468,73.50208477,74.2010776,72.08786828,81.22901036,84.45923292,85.38052548,98.68525641
2000,8.935466078,9.75597906,7.710280374,7.825962747,14.42405876,12.19829966,11.64180086,9.21686747,11.97915006,10.66350711,11.27756011,11.69652266,9.854014599,10.55384057,11.18754201,13.705,12.21014343,12.8054741,19.36339523,13.79919868,16.02316602,13.23103309,15.6039604,16.77114927,16.41494779,13.94406161,22.11811621,22.83625731,18.85346743,22.39398838,21.29565372,22.03764861,21.39031466,21.99321268,23.5670926,27.20613882,28.097021,31.69353498,22.67225326,28.07664234,27.71320361,27.92169725,27.93638479,28.31008461,29.5765451,28.45533984,31.47737766,30.20949297,33.29679579,32.53761284,32.47798742,30.11627907,33.16404058,34.9545527,33.13017359,34.90624759,33.71489895,34.12708684,30.50709572,32.22718571,37.83411116,39.26838373,36.53551913,35.96263122,34.02192385,36.09515997,30.75967709,38.24727745,38.50594357,37.6720409,40.48212801,39.93762994,39.15355542,39.72657936,48.84063591,44.88293721,40.78584106,46.78555563,48.74905613,42.67578125,46.2161741,48.05855482,37.70012216,45.89715536,57.12753597,46.47614435,47.90887944,57.57827423,45.55335968,53.35251094,52.37671355,49.40184991,57.43106927,46.53349001,51.44855145,55.27830569,54.87450112,55.47032216,52.91342298,55.69936007,55.72359844,52.10946042,58.61368255,53.66392994,65.40901881,46.54275093,62.13903743,59.48984375,62.36722524,63.97632617,61.22144985,65.46946462,65.18764255,66.04978038,65.71602496,68.78489084,69.36282835,68.24691358,68.63332846,65.47738694,75.39118065,73.68922158,74.19511549,71.60307626,81.02893891,84.43992888,85.38052548,98.66025641
2001,8.567751425,9.665852859,7.57788162,7.999771455,13.97432941,12.12489478,11.51946329,9.390767891,11.85672841,10.69312796,11.25758623,11.68949772,10.09124088,10.56704276,11.37037867,13.564,12.26553135,12.91300098,18.92297683,13.66815932,15.8011583,13.35550849,15.56039604,16.73990862,16.43738673,14.27644913,21.90919838,22.61769006,19.19525654,22.33036421,21.35160289,22.08322325,21.53760321,22.14920674,23.59861824,26.83780956,27.95051278,31.11184976,23.16014898,28.17226277,27.73497018,28.13062146,28.17067494,28.31008461,29.66861471,28.72054673,31.44598338,30.32664525,32.94016325,32.55947263,32.52641509,30.38372093,33.15254145,34.71854569,33.15682739,34.82671879,33.77928814,34.15297011,31.00605622,32.54945756,37.48408995,38.76446435,36.43278689,35.93759029,34.17710423,36.09515997,31.4469054,38.24230688,38.53936425,37.80574125,40.21058465,39.98336798,39.28012657,39.7608289,47.99534703,44.43951756,40.94655886,46.32015401,48.29952177,42.67578125,45.98244429,47.74709302,38.56440258,45.89715536,56.05505407,46.50762897,47.80877517,56.52520555,45.75098814,52.87908927,52.09466161,49.39872189,56.67787492,46.98394046,51.44855145,54.9612659,54.70315803,55.21979138,52.95588582,55.41146462,55.39753982,52.28953631,58.16211334,53.84783799,64.4856107,46.54275093,61.7254902,59.393125,62.01930095,63.60149057,61.32075472,65.24078558,64.9307422,66,65.28930148,68.56078236,69.22546922,68.27928669,68.6601355,65.72688442,75.04978663,73.49092222,74.18893256,71.90090988,80.83601286,84.41960884,85.38052548,98.63461539
